NUMBER OF AGES= 1 MAGS=10
----------------------------------------------------       
MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
 1.9380  0.2452 1.3168E-04 1.7223E-04  -2.00  -0.20 
----------------------------------------------------       
**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)
----------------------------------------------------       
AGE= 8.000 EEPS=268
#EEP   M    LogTeff  LogG   LogL U       B       V       R       I       J       H       Ks      Kp      D51
  11  0.103674  3.5374  5.3745 -2.8179 17.1506 14.9103 13.1077 12.0832 11.1439 10.0161  9.5898  9.4870 12.2414 13.9357
  12  0.113829  3.5497  5.3313 -2.6848 16.2539 14.3784 12.6732 11.6888 10.8190  9.7208  9.2576  9.1396 11.8651 13.4353
  13  0.125273  3.5623  5.2868 -2.5485 15.4524 13.8406 12.2359 11.2928 10.4800  9.4168  8.9246  8.7970 11.4800 12.9297
  14  0.139207  3.5743  5.2416 -2.4095 14.7287 13.3062 11.7961 10.8978 10.1288  9.1042  8.5900  8.4550 11.0891 12.4278
  15  0.155441  3.5835  5.2005 -2.2839 14.1489 12.8530 11.4135 10.5520  9.8108  8.8169  8.2898  8.1474 10.7433 11.9977
  16  0.172027  3.5896  5.1675 -2.1824 13.7206 12.5088 11.1154 10.2793  9.5547  8.5808  8.0469  7.8989 10.4695 11.6662
  17  0.186744  3.5937  5.1418 -2.1042 13.4006 12.2513 10.8891 10.0712  9.3574  8.3976  7.8597  7.7076 10.2602 11.4158
  18  0.200074  3.5971  5.1203 -2.0390 13.1376 12.0389 10.7014  9.8982  9.1929  8.2444  7.7041  7.5489 10.0859 11.2083
  19  0.213029  3.6001  5.1008 -1.9804 12.9058 11.8497 10.5330  9.7428  9.0448  8.1064  7.5643  7.4067  9.9294 11.0230
  20  0.226685  3.6030  5.0825 -1.9239 12.6905 11.6699 10.3718  9.5932  8.9022  7.9731  7.4299  7.2706  9.7788 10.8468
  21  0.242090  3.6058  5.0641 -1.8654 12.4752 11.4854 10.2052  9.4384  8.7542  7.8348  7.2911  7.1302  9.6230 10.6660
  22  0.265513  3.6098  5.0390 -1.7843 12.1822 11.2309  9.9743  9.2233  8.5488  7.6428  7.0990  6.9369  9.4065 10.4163
  23  0.292581  3.6139  5.0150 -1.7017 11.8866 10.9727  9.7394  9.0044  8.3397  7.4475  6.9046  6.7422  9.1861 10.1628
  24  0.305320  3.6157  5.0085 -1.6697 11.7680 10.8705  9.6468  8.9186  8.2581  7.3719  6.8298  6.6676  9.0996 10.0622
  25  0.312311  3.6166  5.0059 -1.6535 11.7082 10.8189  9.6001  8.8755  8.2172  7.3340  6.7924  6.6305  9.0561 10.0117
  26  0.316988  3.6172  5.0036 -1.6424 11.6673 10.7836  9.5681  8.8457  8.1889  7.3077  6.7665  6.6047  9.0261  9.9769
  27  0.320195  3.6176  5.0014 -1.6340 11.6368 10.7571  9.5440  8.8233  8.1675  7.2879  6.7468  6.5851  9.0036  9.9509
  28  0.322624  3.6180  4.9991 -1.6270 11.6117 10.7352  9.5240  8.8048  8.1499  7.2713  6.7305  6.5689  8.9849  9.9293
  29  0.324912  3.6184  4.9968 -1.6202 11.5872 10.7139  9.5045  8.7867  8.1327  7.2553  6.7146  6.5531  8.9667  9.9082
  30  0.327674  3.6188  4.9944 -1.6125 11.5592 10.6897  9.4824  8.7661  8.1130  7.2371  6.6965  6.5351  8.9460  9.8843
  31  0.331576  3.6193  4.9915 -1.6025 11.5232 10.6583  9.4537  8.7394  8.0875  7.2133  6.6730  6.5118  8.9191  9.8535
  32  0.337633  3.6200  4.9877 -1.5878 11.4712 10.6129  9.4123  8.7006  8.0504  7.1786  6.6387  6.4777  8.8800  9.8088
  33  0.347705  3.6212  4.9811 -1.5637 11.3855 10.5381  9.3437  8.6366  7.9894  7.1214  6.5823  6.4218  8.8155  9.7350
  34  0.385123  3.6273  4.9510 -1.4648 11.0164 10.2207  9.0564  8.3711  7.7382  6.8899  6.3551  6.1977  8.5479  9.4236
  35  0.412570  3.6334  4.9233 -1.3830 10.6945  9.9482  8.8125  8.1484  7.5299  6.7008  6.1713  6.0181  8.3230  9.1577
  36  0.433817  3.6391  4.8991 -1.3138 10.4067  9.7097  8.6017  7.9581  7.3538  6.5437  6.0205  5.8721  8.1304  8.9261
  37  0.451591  3.6448  4.8785 -1.2532 10.1437  9.4951  8.4139  7.7899  7.1995  6.4079  5.8916  5.7482  7.9599  8.7190
  38  0.464371  3.6495  4.8634 -1.2072  9.9393  9.3302  8.2704  7.6620  7.0829  6.3062  5.7958  5.6569  7.8302  8.5610
  39  0.475457  3.6540  4.8504 -1.1657  9.7481  9.1794  8.1405  7.5466  6.9781  6.2156  5.7114  5.5768  7.7129  8.4175
  40  0.485308  3.6584  4.8390 -1.1279  9.5665  9.0403  8.0219  7.4415  6.8828  6.1341  5.6361  5.5055  7.6059  8.2862
  41  0.494726  3.6628  4.8285 -1.0914  9.3872  8.9052  7.9074  7.3402  6.7913  6.0562  5.5648  5.4384  7.5028  8.1598
  42  0.504115  3.6674  4.8185 -1.0551  9.2071  8.7700  7.7940  7.2399  6.7009  5.9798  5.4952  5.3729  7.4004  8.0351
  43  0.512926  3.6719  4.8096 -1.0206  9.0323  8.6403  7.6860  7.1446  6.6154  5.9078  5.4304  5.3122  7.3031  7.9167
  44  0.521670  3.6766  4.8013 -0.9860  8.8530  8.5094  7.5781  7.0495  6.5300  5.8368  5.3669  5.2528  7.2058  7.7986
  45  0.530734  3.6818  4.7931 -0.9497  8.6633  8.3716  7.4657  6.9504  6.4414  5.7637  5.3022  5.1925  7.1043  7.6759
  46  0.540672  3.6875  4.7843 -0.9100  8.4561  8.2200  7.3428  6.8423  6.3454  5.6848  5.2328  5.1280  6.9936  7.5428
  47  0.551674  3.6939  4.7746 -0.8661  8.2312  8.0555  7.2104  6.7251  6.2407  5.5984  5.1570  5.0573  6.8732  7.4001
  48  0.563306  3.7007  4.7644 -0.8197  7.9965  7.8834  7.0725  6.6026  6.1314  5.5080  5.0778  4.9834  6.7476  7.2522
  49  0.575050  3.7076  4.7544 -0.7727  7.7634  7.7104  6.9342  6.4802  6.0224  5.4184  4.9995  4.9103  6.6215  7.1047
  50  0.586659  3.7145  4.7444 -0.7263  7.5408  7.5439  6.8012  6.3615  5.9161  5.3306  4.9230  4.8389  6.4994  6.9630
  51  0.597930  3.7211  4.7342 -0.6815  7.3346  7.3870  6.6751  6.2486  5.8146  5.2464  4.8492  4.7697  6.3832  6.8295
  52  0.603321  3.7242  4.7292 -0.6602  7.2396  7.3135  6.6158  6.1953  5.7667  5.2064  4.8140  4.7369  6.3284  6.7668
  53  0.608698  3.7273  4.7242 -0.6390  7.1462  7.2407  6.5570  6.1425  5.7192  5.1669  4.7792  4.7043  6.2740  6.7048
  54  0.614044  3.7305  4.7191 -0.6179  7.0555  7.1690  6.4989  6.0902  5.6721  5.1276  4.7446  4.6719  6.2202  6.6436
  55  0.619347  3.7335  4.7139 -0.5970  6.9672  7.0984  6.4414  6.0386  5.6257  5.0888  4.7103  4.6396  6.1670  6.5833
  56  0.624597  3.7364  4.7087 -0.5764  6.8819  7.0293  6.3849  5.9877  5.5800  5.0504  4.6760  4.6075  6.1146  6.5238
  57  0.629788  3.7393  4.7035 -0.5560  6.7991  6.9618  6.3293  5.9376  5.5350  5.0124  4.6421  4.5758  6.0630  6.4654
  58  0.634914  3.7421  4.6982 -0.5357  6.7188  6.8958  6.2749  5.8884  5.4906  4.9749  4.6087  4.5443  6.0124  6.4082
  59  0.639973  3.7449  4.6929 -0.5159  6.6408  6.8314  6.2215  5.8402  5.4469  4.9379  4.5757  4.5133  5.9627  6.3522
  60  0.644954  3.7476  4.6876 -0.4963  6.5654  6.7685  6.1692  5.7928  5.4039  4.9015  4.5433  4.4828  5.9139  6.2974
  61  0.649863  3.7503  4.6823 -0.4771  6.4925  6.7073  6.1179  5.7462  5.3616  4.8655  4.5112  4.4525  5.8660  6.2438
  62  0.654691  3.7529  4.6769 -0.4581  6.4219  6.6475  6.0677  5.7005  5.3201  4.8302  4.4795  4.4226  5.8190  6.1913
  63  0.659433  3.7554  4.6715 -0.4395  6.3533  6.5890  6.0184  5.6559  5.2795  4.7954  4.4482  4.3931  5.7729  6.1398
  64  0.664097  3.7579  4.6661 -0.4212  6.2860  6.5313  5.9700  5.6121  5.2400  4.7615  4.4175  4.3642  5.7278  6.0892
  65  0.668681  3.7603  4.6607 -0.4031  6.2202  6.4746  5.9224  5.5692  5.2014  4.7283  4.3872  4.3357  5.6835  6.0394
  66  0.673197  3.7626  4.6552 -0.3855  6.1562  6.4191  5.8758  5.5270  5.1634  4.6956  4.3575  4.3078  5.6400  5.9906
  67  0.677643  3.7649  4.6498 -0.3679  6.0946  6.3652  5.8300  5.4855  5.1256  4.6631  4.3280  4.2800  5.5971  5.9428
  68  0.682023  3.7672  4.6445 -0.3507  6.0349  6.3126  5.7850  5.4444  5.0881  4.6309  4.2991  4.2526  5.5548  5.8959
  69  0.686342  3.7695  4.6392 -0.3336  5.9767  6.2610  5.7406  5.4038  5.0510  4.5990  4.2704  4.2255  5.5132  5.8497
  70  0.690599  3.7717  4.6340 -0.3168  5.9198  6.2101  5.6970  5.3639  5.0146  4.5675  4.2422  4.1987  5.4720  5.8043
  71  0.694798  3.7739  4.6288 -0.3001  5.8639  6.1600  5.6539  5.3245  4.9786  4.5367  4.2146  4.1725  5.4315  5.7595
  72  0.698943  3.7761  4.6236 -0.2837  5.8092  6.1107  5.6114  5.2856  4.9430  4.5061  4.1872  4.1466  5.3915  5.7153
  73  0.703031  3.7782  4.6185 -0.2675  5.7556  6.0622  5.5695  5.2474  4.9080  4.4760  4.1602  4.1210  5.3521  5.6717
  74  0.707046  3.7803  4.6136 -0.2515  5.7032  6.0144  5.5283  5.2097  4.8738  4.4464  4.1337  4.0960  5.3133  5.6288
  75  0.710988  3.7825  4.6087 -0.2358  5.6520  5.9674  5.4877  5.1726  4.8400  4.4174  4.1077  4.0713  5.2751  5.5866
  76  0.714869  3.7845  4.6039 -0.2202  5.6017  5.9211  5.4477  5.1362  4.8068  4.3889  4.0821  4.0471  5.2376  5.5449
  77  0.718687  3.7866  4.5991 -0.2049  5.5523  5.8754  5.4083  5.1003  4.7742  4.3609  4.0571  4.0234  5.2006  5.5040
  78  0.722439  3.7886  4.5942 -0.1898  5.5040  5.8306  5.3697  5.0651  4.7421  4.3332  4.0323  4.0000  5.1641  5.4637
  79  0.726131  3.7905  4.5894 -0.1750  5.4567  5.7863  5.3315  5.0302  4.7104  4.3058  4.0078  3.9767  5.1282  5.4241
  80  0.729760  3.7924  4.5845 -0.1603  5.4107  5.7429  5.2938  4.9958  4.6790  4.2787  3.9834  3.9536  5.0927  5.3850
  81  0.733334  3.7942  4.5796 -0.1458  5.3661  5.7004  5.2566  4.9616  4.6477  4.2516  3.9593  3.9305  5.0575  5.3465
  82  0.738543  3.7969  4.5720 -0.1245  5.3015  5.6384  5.2024  4.9116  4.6017  4.2118  3.9236  3.8964  5.0062  5.2901
  83  0.743755  3.7995  4.5641 -0.1031  5.2370  5.5763  5.1479  4.8616  4.5558  4.1715  3.8872  3.8616  4.9546  5.2338
  84  0.748969  3.8020  4.5558 -0.0816  5.1716  5.5135  5.0937  4.8121  4.5107  4.1314  3.8500  3.8264  4.9035  5.1775
  85  0.754178  3.8045  4.5470 -0.0599  5.1064  5.4507  5.0391  4.7622  4.4650  4.0905  3.8118  3.7904  4.8519  5.1207
  86  0.759365  3.8069  4.5377 -0.0382  5.0423  5.3877  4.9838  4.7113  4.4182  4.0486  3.7730  3.7533  4.7994  5.0637
  87  0.764519  3.8093  4.5281 -0.0162  4.9797  5.3254  4.9280  4.6593  4.3697  4.0054  3.7338  3.7152  4.7461  5.0062
  88  0.769630  3.8115  4.5180  0.0059  4.9179  5.2630  4.8717  4.6067  4.3206  3.9615  3.6940  3.6766  4.6922  4.9485
  89  0.774689  3.8138  4.5077  0.0280  4.8566  5.2008  4.8154  4.5538  4.2713  3.9173  3.6537  3.6373  4.6382  4.8907
  90  0.779698  3.8159  4.4970  0.0501  4.7954  5.1384  4.7590  4.5009  4.2218  3.8728  3.6129  3.5976  4.5840  4.8328
  91  0.784655  3.8181  4.4861  0.0723  4.7347  5.0761  4.7025  4.4479  4.1722  3.8281  3.5720  3.5577  4.5298  4.7748
  92  0.789561  3.8202  4.4752  0.0944  4.6742  5.0138  4.6459  4.3949  4.1225  3.7832  3.5308  3.5175  4.4756  4.7169
  93  0.794422  3.8223  4.4639  0.1166  4.6141  4.9513  4.5893  4.3417  4.0727  3.7381  3.4894  3.4770  4.4210  4.6588
  94  0.799244  3.8244  4.4526  0.1389  4.5542  4.8889  4.5325  4.2884  4.0227  3.6928  3.4479  3.4366  4.3665  4.6006
  95  0.804039  3.8264  4.4412  0.1611  4.4943  4.8262  4.4755  4.2347  3.9725  3.6475  3.4064  3.3959  4.3117  4.5422
  96  0.808814  3.8285  4.4296  0.1836  4.4345  4.7633  4.4183  4.1809  3.9220  3.6018  3.3644  3.3548  4.2566  4.4835
  97  0.813565  3.8305  4.4177  0.2061  4.3747  4.7002  4.3607  4.1267  3.8712  3.5556  3.3221  3.3133  4.2011  4.4245
  98  0.818284  3.8326  4.4058  0.2287  4.3147  4.6366  4.3026  4.0722  3.8200  3.5091  3.2795  3.2715  4.1452  4.3651
  99  0.822950  3.8346  4.3936  0.2515  4.2548  4.5728  4.2443  4.0172  3.7685  3.4624  3.2366  3.2294  4.0890  4.3055
 100  0.827550  3.8367  4.3814  0.2743  4.1949  4.5087  4.1856  3.9621  3.7167  3.4153  3.1936  3.1871  4.0325  4.2455
 101  0.832057  3.8387  4.3690  0.2971  4.1352  4.4447  4.1271  3.9068  3.6650  3.3683  3.1505  3.1447  3.9761  4.1856
 102  0.836452  3.8407  4.3566  0.3198  4.0759  4.3809  4.0687  3.8519  3.6134  3.3215  3.1077  3.1025  3.9197  4.1258
 103  0.840717  3.8427  4.3441  0.3424  4.0171  4.3175  4.0106  3.7971  3.5622  3.2749  3.0650  3.0605  3.8638  4.0664
 104  0.844830  3.8446  4.3316  0.3648  3.9590  4.2547  3.9531  3.7430  3.5114  3.2287  3.0227  3.0187  3.8084  4.0076
 105  0.848773  3.8465  4.3191  0.3868  3.9019  4.1929  3.8964  3.6895  3.4612  3.1828  2.9805  2.9773  3.7537  3.9496
 106  0.852545  3.8483  4.3065  0.4085  3.8459  4.1321  3.8407  3.6369  3.4117  3.1376  2.9390  2.9363  3.6998  3.8926
 107  0.856174  3.8499  4.2939  0.4298  3.7909  4.0724  3.7856  3.5850  3.3629  3.0929  2.8978  2.8955  3.6467  3.8364
 108  0.859671  3.8516  4.2813  0.4509  3.7367  4.0135  3.7313  3.5337  3.3147  3.0487  2.8570  2.8552  3.5942  3.7811
 109  0.863042  3.8532  4.2689  0.4716  3.6836  3.9555  3.6780  3.4831  3.2671  3.0049  2.8165  2.8154  3.5426  3.7266
 110  0.866301  3.8548  4.2564  0.4921  3.6313  3.8985  3.6254  3.4333  3.2201  2.9618  2.7766  2.7759  3.4916  3.6729
 111  0.869452  3.8564  4.2439  0.5122  3.5799  3.8424  3.5735  3.3842  3.1738  2.9191  2.7369  2.7367  3.4414  3.6200
 112  0.870270  3.8568  4.2407  0.5177  3.5659  3.8272  3.5594  3.3710  3.1615  2.9078  2.7267  2.7265  3.4278  3.6057
 113  0.871085  3.8574  4.2377  0.5232  3.5516  3.8114  3.5451  3.3575  3.1490  2.8966  2.7166  2.7165  3.4140  3.5910
 114  0.871898  3.8579  4.2347  0.5287  3.5374  3.7958  3.5308  3.3442  3.1365  2.8854  2.7064  2.7065  3.4003  3.5763
