NUMBER OF AGES= 1 MAGS=10
----------------------------------------------------       
MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
 1.9380  0.2452 1.3168E-04 1.7223E-04  -2.00  -0.20 
----------------------------------------------------       
**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)
----------------------------------------------------       
AGE= 9.000 EEPS=268
#EEP   M    LogTeff  LogG   LogL U       B       V       R       I       J       H       Ks      Kp      D51
  12  0.108397  3.5432  5.3538 -2.7544 16.7061 14.6547 12.8983 11.8935 10.9894  9.8755  9.4303  9.3197 12.0613 13.6956
  13  0.119078  3.5558  5.3098 -2.6192 15.8545 14.1193 12.4629 11.4978 10.6569  9.5748  9.0966  8.9732 11.6802 13.1912
  14  0.131565  3.5683  5.2645 -2.4810 15.0913 13.5781 12.0210 11.0995 10.3097  9.2654  8.7615  8.6306 11.2893 12.6834
  15  0.146058  3.5788  5.2218 -2.3506 14.4478 13.0891 11.6145 10.7342  9.9797  8.9703  8.4493  8.3108 10.9259 12.2227
  16  0.161475  3.5860  5.1860 -2.2427 13.9727 12.7118 11.2918 10.4409  9.7068  8.7212  8.1910  8.0462 10.6318 11.8621
  17  0.175962  3.5909  5.1580 -2.1579 13.6215 12.4284 11.0447 10.2142  9.4930  8.5233  7.9880  7.8387 10.4040 11.5882
  18  0.189126  3.5944  5.1350 -2.0890 13.3407 12.2026 10.8459 10.0312  9.3193  8.3618  7.8232  7.6703 10.2199 11.3682
  19  0.201756  3.5976  5.1146 -2.0277 13.0944 12.0034 10.6696  9.8686  9.1645  8.2177  7.6769  7.5211 10.0562 11.1734
  20  0.214642  3.6006  5.0956 -1.9701 12.8677 11.8179 10.5043  9.7160  9.0191  8.0821  7.5396  7.3816  9.9024 10.9918
  21  0.228596  3.6034  5.0772 -1.9132 12.6523 11.6371 10.3419  9.5653  8.8752  7.9476  7.4042  7.2445  9.7507 10.8145
  22  0.244972  3.6064  5.0583 -1.8521 12.4280 11.4444 10.1679  9.4035  8.7207  7.8032  7.2593  7.0982  9.5878 10.6257
  23  0.272622  3.6110  5.0294 -1.7584 12.0913 11.1511  9.9014  9.1551  8.4834  7.5813  7.0375  6.8752  9.3378 10.3378
  24  0.297962  3.6147  5.0103 -1.6859 11.8288 10.9227  9.6939  8.9622  8.2994  7.4099  6.8672  6.7049  9.1434 10.1135
  25  0.307910  3.6161  5.0060 -1.6619 11.7397 10.8460  9.6245  8.8980  8.2385  7.3535  6.8115  6.6495  9.0787 10.0382
  26  0.314138  3.6168  5.0036 -1.6476 11.6868 10.8003  9.5831  8.8596  8.2021  7.3198  6.7783  6.6164  9.0401  9.9933
  27  0.318252  3.6174  5.0014 -1.6375 11.6498 10.7684  9.5542  8.8327  8.1765  7.2961  6.7550  6.5932  9.0131  9.9620
  28  0.321121  3.6179  4.9992 -1.6298 11.6218 10.7440  9.5320  8.8122  8.1569  7.2779  6.7369  6.5752  8.9924  9.9379
  29  0.323436  3.6182  4.9970 -1.6230 11.5972 10.7227  9.5126  8.7941  8.1397  7.2620  6.7211  6.5595  8.9743  9.9169
  30  0.325863  3.6186  4.9947 -1.6160 11.5717 10.7006  9.4925  8.7755  8.1220  7.2455  6.7048  6.5433  8.9554  9.8951
  31  0.328996  3.6191  4.9922 -1.6076 11.5412 10.6741  9.4684  8.7530  8.1006  7.2256  6.6851  6.5238  8.9328  9.8691
  32  0.333591  3.6196  4.9891 -1.5961 11.5004 10.6385  9.4358  8.7227  8.0717  7.1984  6.6583  6.4972  8.9022  9.8340
  33  0.340797  3.6205  4.9847 -1.5791 11.4401 10.5857  9.3874  8.6775  8.0285  7.1580  6.6183  6.4575  8.8567  9.7820
  34  0.354234  3.6221  4.9756 -1.5465 11.3232 10.4840  9.2943  8.5906  7.9456  7.0807  6.5421  6.3821  8.7692  9.6817
  35  0.384802  3.6274  4.9497 -1.4637 11.0126 10.2173  9.0532  8.3681  7.7353  6.8871  6.3523  6.1949  8.5449  9.4202
  36  0.406210  3.6320  4.9276 -1.3994 10.7609 10.0039  8.8620  8.1933  7.5716  6.7382  6.2074  6.0532  8.3683  9.2117
  37  0.426242  3.6372  4.9048 -1.3349 10.4969  9.7838  8.6667  8.0164  7.4074  6.5910  6.0655  5.9154  8.1895  8.9977
  38  0.445632  3.6432  4.8823 -1.2692 10.2152  9.5530  8.4643  7.8348  7.2404  6.4436  5.9251  5.7802  8.0055  8.7746
  39  0.459292  3.6479  4.8661 -1.2208 10.0021  9.3801  8.3135  7.7001  7.1173  6.3358  5.8233  5.6829  7.8689  8.6086
  40  0.470170  3.6523  4.8529 -1.1800  9.8174  9.2330  8.1862  7.5868  7.0143  6.2465  5.7398  5.6035  7.7538  8.4682
  41  0.480051  3.6566  4.8412 -1.1420  9.6376  9.0939  8.0670  7.4812  6.9185  6.1642  5.6635  5.5313  7.6463  8.3365
  42  0.489319  3.6609  4.8305 -1.1059  9.4613  8.9602  7.9536  7.3808  6.8277  6.0866  5.5923  5.4640  7.5441  8.2109
  43  0.498437  3.6653  4.8204 -1.0702  9.2850  8.8276  7.8417  7.2819  6.7384  6.0108  5.5230  5.3989  7.4432  8.0878
  44  0.507515  3.6698  4.8108 -1.0346  9.1070  8.6946  7.7306  7.1836  6.6499  5.9362  5.4553  5.3353  7.3429  7.9658
  45  0.516051  3.6744  4.8022 -1.0005  8.9319  8.5659  7.6241  7.0895  6.5655  5.8657  5.3921  5.2762  7.2469  7.8491
  46  0.524737  3.6794  4.7940 -0.9653  8.7491  8.4329  7.5149  6.9933  6.4794  5.7942  5.3286  5.2168  7.1484  7.7299
  47  0.533934  3.6847  4.7854 -0.9279  8.5536  8.2904  7.3990  6.8914  6.3886  5.7194  5.2625  5.1554  7.0439  7.6039
  48  0.543869  3.6905  4.7764 -0.8874  8.3442  8.1371  7.2752  6.7822  6.2915  5.6394  5.1924  5.0902  6.9320  7.4701
  49  0.554471  3.6967  4.7666 -0.8445  8.1258  7.9773  7.1467  6.6681  6.1892  5.5549  5.1182  5.0208  6.8149  7.3321
  50  0.565278  3.7032  4.7568 -0.8004  7.9052  7.8147  7.0165  6.5525  6.0862  5.4698  5.0437  4.9512  6.6962  7.1928
  51  0.575958  3.7097  4.7473 -0.7568  7.6914  7.6554  6.8891  6.4395  5.9854  5.3868  4.9712  4.8835  6.5799  7.0570
  52  0.581209  3.7128  4.7425 -0.7353  7.5887  7.5786  6.8277  6.3846  5.9363  5.3461  4.9357  4.8503  6.5234  6.9916
  53  0.586441  3.7160  4.7376 -0.7139  7.4882  7.5029  6.7671  6.3304  5.8875  5.3058  4.9005  4.8174  6.4675  6.9273
  54  0.591647  3.7191  4.7327 -0.6927  7.3908  7.4287  6.7074  6.2770  5.8394  5.2658  4.8653  4.7846  6.4125  6.8640
  55  0.596822  3.7222  4.7277 -0.6717  7.2958  7.3557  6.6487  6.2242  5.7919  5.2263  4.8306  4.7519  6.3583  6.8018
  56  0.601963  3.7252  4.7226 -0.6509  7.2037  7.2841  6.5908  6.1721  5.7451  5.1872  4.7961  4.7197  6.3047  6.7408
  57  0.607067  3.7281  4.7175 -0.6302  7.1134  7.2134  6.5336  6.1207  5.6988  5.1486  4.7621  4.6878  6.2518  6.6805
  58  0.612125  3.7312  4.7123 -0.6097  7.0258  7.1439  6.4771  6.0699  5.6530  5.1103  4.7283  4.6561  6.1995  6.6211
  59  0.617133  3.7341  4.7071 -0.5894  6.9408  7.0756  6.4215  6.0197  5.6079  5.0725  4.6947  4.6245  6.1478  6.5626
  60  0.622076  3.7369  4.7019 -0.5693  6.8586  7.0089  6.3666  5.9704  5.5636  5.0351  4.6614  4.5932  6.0970  6.5051
  61  0.626955  3.7397  4.6966 -0.5495  6.7788  6.9436  6.3128  5.9219  5.5198  4.9981  4.6284  4.5622  6.0470  6.4484
  62  0.631763  3.7424  4.6913 -0.5299  6.7015  6.8799  6.2601  5.8742  5.4768  4.9617  4.5959  4.5316  5.9980  6.3932
  63  0.636497  3.7451  4.6860 -0.5107  6.6264  6.8177  6.2085  5.8275  5.4344  4.9258  4.5638  4.5014  5.9499  6.3390
  64  0.641157  3.7477  4.6806 -0.4918  6.5536  6.7570  6.1579  5.7816  5.3928  4.8904  4.5321  4.4716  5.9026  6.2861
  65  0.645740  3.7502  4.6752 -0.4731  6.4833  6.6979  6.1083  5.7365  5.3518  4.8554  4.5008  4.4421  5.8563  6.2342
  66  0.650245  3.7527  4.6699 -0.4548  6.4152  6.6401  6.0597  5.6922  5.3115  4.8210  4.4700  4.4130  5.8108  6.1834
  67  0.654669  3.7551  4.6645 -0.4368  6.3489  6.5835  6.0120  5.6489  5.2721  4.7873  4.4396  4.3843  5.7662  6.1336
  68  0.659005  3.7575  4.6591 -0.4191  6.2839  6.5278  5.9653  5.6066  5.2339  4.7544  4.4098  4.3562  5.7225  6.0848
  69  0.663262  3.7598  4.6537 -0.4017  6.2205  6.4731  5.9193  5.5652  5.1965  4.7223  4.3804  4.3286  5.6797  6.0367
  70  0.667440  3.7620  4.6482 -0.3845  6.1590  6.4197  5.8743  5.5245  5.1598  4.6905  4.3514  4.3013  5.6377  5.9896
  71  0.671542  3.7642  4.6428 -0.3677  6.0994  6.3676  5.8302  5.4846  5.1235  4.6593  4.3230  4.2746  5.5965  5.9436
  72  0.675579  3.7664  4.6374 -0.3512  6.0420  6.3170  5.7869  5.4449  5.0874  4.6281  4.2948  4.2479  5.5559  5.8985
  73  0.679544  3.7685  4.6321 -0.3348  5.9862  6.2676  5.7444  5.4060  5.0518  4.5974  4.2672  4.2216  5.5158  5.8542
  74  0.683443  3.7706  4.6268 -0.3187  5.9318  6.2190  5.7025  5.3676  5.0166  4.5670  4.2399  4.1957  5.4764  5.8106
  75  0.687276  3.7726  4.6215 -0.3027  5.8784  6.1712  5.6614  5.3299  4.9821  4.5371  4.2129  4.1702  5.4375  5.7679
  76  0.691053  3.7746  4.6163 -0.2870  5.8262  6.1241  5.6207  5.2926  4.9480  4.5077  4.1864  4.1450  5.3992  5.7256
  77  0.694773  3.7766  4.6112 -0.2715  5.7751  6.0777  5.5806  5.2559  4.9143  4.4786  4.1604  4.1203  5.3615  5.6840
  78  0.698432  3.7786  4.6059 -0.2562  5.7251  6.0322  5.5411  5.2198  4.8812  4.4499  4.1345  4.0957  5.3243  5.6429
  79  0.702038  3.7806  4.6009 -0.2411  5.6760  5.9873  5.5023  5.1841  4.8485  4.4216  4.1090  4.0715  5.2875  5.6025
  80  0.705575  3.7825  4.5959 -0.2262  5.6280  5.9431  5.4639  5.1490  4.8165  4.3937  4.0839  4.0476  5.2514  5.5627
  81  0.709051  3.7843  4.5909 -0.2115  5.5809  5.8996  5.4261  5.1144  4.7849  4.3664  4.0592  4.0242  5.2158  5.5234
  82  0.714083  3.7870  4.5836 -0.1902  5.5126  5.8363  5.3713  5.0643  4.7390  4.3267  4.0235  3.9904  5.1641  5.4664
  83  0.719103  3.7898  4.5761 -0.1688  5.4449  5.7729  5.3162  5.0138  4.6931  4.2869  3.9875  3.9562  5.1123  5.4093
