NUMBER OF AGES= 1 MAGS=10
----------------------------------------------------       
MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
 1.9380  0.2452 1.3168E-04 1.7223E-04  -2.00  -0.20 
----------------------------------------------------       
**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)
----------------------------------------------------       
AGE=11.000 EEPS=267
#EEP   M    LogTeff  LogG   LogL U       B       V       R       I       J       H       Ks      Kp      D51
  13  0.109395  3.5446  5.3487 -2.7397 16.6075 14.5963 12.8507 11.8503 10.9539  9.8434  9.3940  9.2817 12.0202 13.6406
  14  0.120303  3.5573  5.3040 -2.6030 15.7592 14.0549 12.4106 11.4506 10.6165  9.5387  9.0569  8.9324 11.6343 13.1308
  15  0.132612  3.5693  5.2596 -2.4683 15.0256 13.5296 11.9810 11.0636 10.2777  9.2369  8.7310  8.5992 11.2538 12.6379
  16  0.145893  3.5789  5.2198 -2.3489 14.4410 13.0835 11.6096 10.7297  9.9753  8.9663  8.4449  8.3063 10.9213 12.2173
  17  0.159134  3.5853  5.1876 -2.2534 14.0199 12.7494 11.3241 10.4702  9.7342  8.7462  8.2165  8.0724 10.6612 11.8982
  18  0.171646  3.5898  5.1617 -2.1769 13.7007 12.4922 11.1004 10.2652  9.5411  8.5676  8.0331  7.8846 10.4553 11.6499
  19  0.183567  3.5931  5.1396 -2.1118 13.4350 12.2781 10.9121 10.0919  9.3767  8.4148  7.8770  7.7251 10.2810 11.4416
  20  0.195554  3.5963  5.1193 -2.0514 13.1926 12.0822 10.7390  9.9322  9.2248  8.2733  7.7330  7.5782 10.1203 11.2502
  21  0.208107  3.5993  5.0998 -1.9929 12.9596 11.8929 10.5707  9.7769  9.0769  8.1356  7.5934  7.4362  9.9639 11.0649
  22  0.221740  3.6022  5.0811 -1.9351 12.7362 11.7079 10.4053  9.6239  8.9309  7.9991  7.4557  7.2966  9.8097 10.8837
  23  0.237861  3.6053  5.0618 -1.8731 12.5066 11.5119 10.2285  9.4595  8.7739  7.8526  7.3085  7.1477  9.6443 10.6915
  24  0.263333  3.6097  5.0353 -1.7848 12.1869 11.2345  9.9772  9.2256  8.5506  7.6439  7.0998  6.9377  9.4088 10.4196
  25  0.294973  3.6144  5.0095 -1.6907 11.8473 10.9385  9.7081  8.9753  8.3118  7.4212  6.8782  6.7158  9.1567 10.1289
  26  0.307036  3.6161  5.0040 -1.6612 11.7379 10.8443  9.6229  8.8964  8.2369  7.3519  6.8098  6.6477  9.0772 10.0365
  27  0.313687  3.6170  5.0016 -1.6460 11.6813 10.7955  9.5788  8.8555  8.1981  7.3161  6.7745  6.6126  9.0361  9.9885
  28  0.317981  3.6175  4.9995 -1.6356 11.6430 10.7625  9.5488  8.8278  8.1718  7.2917  6.7504  6.5886  9.0081  9.9561
  29  0.320919  3.6180  4.9974 -1.6277 11.6144 10.7377  9.5262  8.8069  8.1518  7.2732  6.7322  6.5705  8.9870  9.9316
  30  0.323291  3.6184  4.9953 -1.6210 11.5894 10.7161  9.5067  8.7887  8.1347  7.2573  6.7164  6.5549  8.9687  9.9104
  31  0.325753  3.6188  4.9932 -1.6140 11.5636 10.6939  9.4865  8.7700  8.1169  7.2408  6.7001  6.5387  8.9500  9.8885
  32  0.328901  3.6192  4.9908 -1.6057 11.5331 10.6675  9.4625  8.7478  8.0958  7.2210  6.6806  6.5194  8.9275  9.8625
  33  0.333449  3.6198  4.9879 -1.5945 11.4931 10.6326  9.4306  8.7180  8.0673  7.1946  6.6546  6.4935  8.8976  9.8282
  34  0.340389  3.6206  4.9838 -1.5782 11.4359 10.5825  9.3847  8.6750  8.0263  7.1562  6.6166  6.4558  8.8542  9.7788
  35  0.351378  3.6219  4.9765 -1.5520 11.3426 10.5010  9.3099  8.6053  7.9597  7.0939  6.5551  6.3948  8.7840  9.6984
  36  0.370462  3.6247  4.9610 -1.5019 11.1588 10.3422  9.1655  8.4714  7.8326  6.9761  6.4392  6.2803  8.6490  9.5423
  37  0.387552  3.6282  4.9440 -1.4517 10.9667 10.1781  9.0178  8.3356  7.7048  6.8591  6.3248  6.1679  8.5120  9.3818
  38  0.399986  3.6310  4.9298 -1.4124 10.8133 10.0481  8.9012  8.2290  7.6049  6.7681  6.2362  6.0812  8.4044  9.2546
  39  0.414758  3.6347  4.9124 -1.3647 10.6232  9.8880  8.7584  8.0990  7.4836  6.6586  6.1301  5.9779  8.2730  9.0987
  40  0.433131  3.6398  4.8905 -1.3032 10.3651  9.6747  8.5702  7.9293  7.3269  6.5191  5.9965  5.8487  8.1013  8.8918
  41  0.450279  3.6455  4.8703 -1.2436 10.1062  9.4636  8.3856  7.7640  7.1753  6.3859  5.8700  5.7274  7.9338  8.6883
  42  0.461376  3.6496  4.8566 -1.2026  9.9241  9.3167  8.2579  7.6501  7.0714  6.2952  5.7847  5.6460  7.8182  8.5477
  43  0.471160  3.6537  4.8445 -1.1650  9.7512  9.1804  8.1403  7.5456  6.9764  6.2130  5.7081  5.5732  7.7119  8.4179
  44  0.480245  3.6578  4.8335 -1.1292  9.5806  9.0493  8.0283  7.4463  6.8864  6.1358  5.6367  5.5056  7.6109  8.2941
  45  0.488756  3.6619  4.8234 -1.0952  9.4139  8.9234  7.9215  7.3519  6.8010  6.0630  5.5699  5.4426  7.5147  8.1761
  46  0.497101  3.6661  4.8138 -1.0616  9.2477  8.7984  7.8164  7.2588  6.7171  5.9918  5.5051  5.3817  7.4199  8.0604
  47  0.505493  3.6704  4.8044 -1.0277  9.0781  8.6719  7.7106  7.1652  6.6328  5.9209  5.4406  5.3212  7.3244  7.9444
  48  0.513795  3.6749  4.7956 -0.9937  8.9040  8.5438  7.6047  7.0716  6.5488  5.8505  5.3775  5.2621  7.2287  7.8285
  49  0.522222  3.6798  4.7870 -0.9586  8.7222  8.4115  7.4961  6.9758  6.4629  5.7791  5.3141  5.2029  7.1306  7.7099
  50  0.530956  3.6850  4.7784 -0.9219  8.5311  8.2721  7.3826  6.8759  6.3739  5.7057  5.2493  5.1425  7.0283  7.5868
  51  0.540004  3.6905  4.7697 -0.8837  8.3332  8.1271  7.2657  6.7728  6.2821  5.6301  5.1830  5.0809  6.9224  7.4604
  52  0.544948  3.6936  4.7648 -0.8627  8.2266  8.0493  7.2029  6.7171  6.2324  5.5890  5.1469  5.0471  6.8654  7.3930
  53  0.549922  3.6966  4.7598 -0.8417  8.1209  7.9717  7.1406  6.6617  6.1827  5.5477  5.1106  5.0131  6.8085  7.3261
  54  0.554896  3.6996  4.7549 -0.8208  8.0157  7.8944  7.0785  6.6065  6.1333  5.5068  5.0748  4.9796  6.7518  7.2596
  55  0.559854  3.7027  4.7500 -0.7997  7.9113  7.8170  7.0164  6.5514  6.0842  5.4663  5.0392  4.9464  6.6953  7.1933
  56  0.564795  3.7057  4.7450 -0.7788  7.8083  7.7402  6.9549  6.4968  6.0354  5.4261  5.0039  4.9133  6.6391  7.1277
  57  0.569697  3.7088  4.7402 -0.7579  7.7067  7.6643  6.8942  6.4427  5.9872  5.3861  4.9690  4.8807  6.5836  7.0631
  58  0.574570  3.7119  4.7353 -0.7371  7.6072  7.5898  6.8344  6.3895  5.9394  5.3466  4.9343  4.8484  6.5288  6.9995
  59  0.579398  3.7149  4.7304 -0.7164  7.5101  7.5166  6.7758  6.3369  5.8921  5.3074  4.9000  4.8163  6.4746  6.9372
  60  0.584183  3.7179  4.7254 -0.6959  7.4155  7.4449  6.7181  6.2852  5.8456  5.2686  4.8661  4.7843  6.4214  6.8760
  61  0.588918  3.7208  4.7204 -0.6756  7.3237  7.3744  6.6614  6.2342  5.7997  5.2304  4.8324  4.7528  6.3690  6.8160
  62  0.593598  3.7237  4.7153 -0.6556  7.2345  7.3054  6.6055  6.1842  5.7546  5.1927  4.7991  4.7216  6.3174  6.7570
  63  0.598227  3.7265  4.7102 -0.6358  7.1479  7.2376  6.5507  6.1348  5.7100  5.1554  4.7662  4.6908  6.2665  6.6992
  64  0.602798  3.7293  4.7050 -0.6162  7.0638  7.1713  6.4967  6.0862  5.6662  5.1187  4.7338  4.6603  6.2165  6.6425
  65  0.607307  3.7320  4.6997 -0.5969  6.9823  7.1061  6.4436  6.0383  5.6230  5.0824  4.7016  4.6300  6.1673  6.5868
  66  0.611745  3.7346  4.6944 -0.5778  6.9034  7.0425  6.3914  5.9911  5.5806  5.0466  4.6696  4.6000  6.1188  6.5319
  67  0.616117  3.7374  4.6891 -0.5589  6.8270  6.9801  6.3401  5.9448  5.5387  5.0112  4.6380  4.5702  6.0711  6.4779
  68  0.620413  3.7399  4.6838 -0.5404  6.7529  6.9192  6.2898  5.8993  5.4976  4.9763  4.6068  4.5408  6.0242  6.4251
  69  0.624630  3.7424  4.6785 -0.5221  6.6809  6.8599  6.2405  5.8547  5.4572  4.9420  4.5760  4.5118  5.9783  6.3735
  70  0.628773  3.7448  4.6730 -0.5041  6.6113  6.8019  6.1923  5.8109  5.4174  4.9080  4.5455  4.4831  5.9333  6.3229
  71  0.632837  3.7472  4.6677 -0.4863  6.5437  6.7454  6.1450  5.7679  5.3783  4.8747  4.5156  4.4549  5.8891  6.2735
  72  0.636830  3.7495  4.6622 -0.4688  6.4782  6.6902  6.0985  5.7257  5.3398  4.8417  4.4859  4.4268  5.8456  6.2250
  73  0.640744  3.7518  4.6568 -0.4517  6.4147  6.6363  6.0530  5.6842  5.3020  4.8093  4.4568  4.3992  5.8030  6.1776
  74  0.644580  3.7540  4.6515 -0.4348  6.3530  6.5835  6.0085  5.6435  5.2650  4.7775  4.4281  4.3721  5.7612  6.1309
  75  0.648352  3.7562  4.6461 -0.4182  6.2926  6.5317  5.9646  5.6036  5.2287  4.7462  4.3997  4.3453  5.7202  6.0852
  76  0.652044  3.7583  4.6407 -0.4019  6.2332  6.4804  5.9216  5.5646  5.1935  4.7158  4.3719  4.3191  5.6799  6.0402
  77  0.655659  3.7604  4.6352 -0.3859  6.1755  6.4304  5.8794  5.5264  5.1590  4.6859  4.3445  4.2933  5.6406  5.9961
  78  0.659192  3.7624  4.6298 -0.3701  6.1194  6.3815  5.8380  5.4890  5.1251  4.6564  4.3175  4.2678  5.6020  5.9529
  79  0.662657  3.7643  4.6245 -0.3546  6.0653  6.3339  5.7974  5.4522  5.0915  4.6273  4.2909  4.2427  5.5640  5.9106
  80  0.666049  3.7663  4.6191 -0.3393  6.0131  6.2877  5.7578  5.4159  5.0583  4.5985  4.2648  4.2179  5.5267  5.8693
  81  0.669372  3.7681  4.6137 -0.3243  5.9624  6.2426  5.7189  5.3801  5.0254  4.5699  4.2389  4.1933  5.4900  5.8289
  82  0.674158  3.7708  4.6059 -0.3027  5.8899  6.1776  5.6626  5.3283  4.9778  4.5285  4.2014  4.1576  5.4367  5.7704
  83  0.678926  3.7735  4.5979 -0.2809  5.8179  6.1127  5.6063  5.2765  4.9302  4.4870  4.1638  4.1218  5.3835  5.7119
  84  0.683674  3.7761  4.5897 -0.2590  5.7465  6.0478  5.5497  5.2245  4.8823  4.4453  4.1260  4.0857  5.3302  5.6533
  85  0.688404  3.7787  4.5815 -0.2370  5.6756  5.9828  5.4932  5.1724  4.8344  4.4033  4.0879  4.0494  5.2767  5.5947
  86  0.693115  3.7814  4.5730 -0.2150  5.6052  5.9178  5.4365  5.1202  4.7864  4.3612  4.0496  4.0129  5.2230  5.5358
  87  0.697805  3.7841  4.5643 -0.1928  5.5352  5.8528  5.3795  5.0677  4.7380  4.3188  4.0109  3.9760  5.1691  5.4768
  88  0.702471  3.7867  4.5554 -0.1705  5.4654  5.7876  5.3224  5.0149  4.6894  4.2760  3.9720  3.9388  5.1149  5.4175
