NUMBER OF AGES= 1 MAGS=10
----------------------------------------------------       
MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
 1.9380  0.2452 1.3168E-04 1.7223E-04  -2.00  -0.20 
----------------------------------------------------       
**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)
----------------------------------------------------       
AGE= 6.000 EEPS=269
#EEP   M    LogTeff  LogG   LogL U       B       V       R       I       J       H       Ks      Kp      D51
  10  0.106572  3.5408  5.3627 -2.7806 16.8883 14.7606 12.9845 11.9717 11.0532  9.9335  9.4959  9.3883 12.1357 13.7950
  11  0.116698  3.5529  5.3204 -2.6503 16.0423 14.2426 12.5628 11.5884 10.7340  9.6440  9.1729  9.0519 11.7680 13.3073
  12  0.128530  3.5653  5.2764 -2.5150 15.2712 13.7098 12.1289 11.1964 10.3954  9.3415  8.8434  8.7141 11.3850 12.8070
  13  0.143961  3.5773  5.2301 -2.3713 14.5445 13.1645 11.6779 10.7914 10.0320  9.0176  8.4989  8.3617 10.9830 12.2940
  14  0.163930  3.5866  5.1864 -2.2340 13.9336 12.6809 11.2653 10.4169  9.6846  8.7011  8.1705  8.0254 10.6077 11.8326
  15  0.184016  3.5929  5.1521 -2.1246 13.4802 12.3161 10.9468 10.1246  9.4085  8.4456  7.9090  7.7579 10.3139 11.4792
  16  0.200389  3.5970  5.1265 -2.0451 13.1576 12.0562 10.7174  9.9135  9.2080  8.2591  7.7194  7.5646 10.1014 11.2255
  17  0.214589  3.6003  5.1058 -1.9815 12.9058 11.8508 10.5348  9.7450  9.0475  8.1096  7.5680  7.4106  9.9317 11.0245
  18  0.228586  3.6032  5.0872 -1.9241 12.6876 11.6683 10.3710  9.5931  8.9025  7.9741  7.4314  7.2722  9.7787 10.8455
  19  0.243727  3.6060  5.0690 -1.8668 12.4768 11.4876 10.2078  9.4414  8.7576  7.8387  7.2953  7.1347  9.6260 10.6685
  20  0.265102  3.6096  5.0454 -1.7922 12.2074 11.2536  9.9956  9.2436  8.5686  7.6619  7.1184  6.9567  9.4269 10.4390
  21  0.289492  3.6133  5.0221 -1.7157 11.9350 11.0153  9.7785  9.0411  8.3750  7.4809  6.9380  6.7756  9.2230 10.2048
  22  0.303277  3.6153  5.0135 -1.6791 11.8009 10.8993  9.6733  8.9436  8.2821  7.3945  6.8524  6.6903  9.1247 10.0908
  23  0.310519  3.6163  5.0105 -1.6622 11.7380 10.8451  9.6243  8.8980  8.2389  7.3546  6.8131  6.6511  9.0789 10.0376
  24  0.315608  3.6168  5.0087 -1.6506 11.6952 10.8082  9.5909  8.8671  8.2096  7.3273  6.7861  6.6244  9.0477 10.0013
  25  0.319123  3.6173  5.0063 -1.6415 11.6624 10.7797  9.5648  8.8429  8.1865  7.3059  6.7648  6.6032  9.0233  9.9733
  26  0.321725  3.6177  5.0038 -1.6341 11.6359 10.7565  9.5437  8.8232  8.1676  7.2882  6.7474  6.5858  9.0035  9.9505
  27  0.323959  3.6181  5.0013 -1.6273 11.6117 10.7354  9.5244  8.8051  8.1503  7.2721  6.7313  6.5697  8.9853  9.9296
  28  0.326396  3.6184  4.9987 -1.6201 11.5862 10.7130  9.5039  8.7860  8.1321  7.2549  6.7143  6.5528  8.9660  9.9075
  29  0.329622  3.6189  4.9960 -1.6112 11.5546 10.6856  9.4787  8.7626  8.1097  7.2340  6.6936  6.5323  8.9424  9.8804
  30  0.334527  3.6195  4.9926 -1.5990 11.5109 10.6474  9.4438  8.7300  8.0786  7.2049  6.6649  6.5037  8.9097  9.8428
  31  0.342709  3.6205  4.9874 -1.5793 11.4407 10.5862  9.3878  8.6778  8.0288  7.1584  6.6189  6.4580  8.8570  9.7826
  32  0.412775  3.6330  4.9289 -1.3899 10.7205  9.9706  8.8328  8.1672  7.5476  6.7172  6.1875  6.0339  8.3418  9.1797
  33  0.434178  3.6387  4.9051 -1.3215 10.4361  9.7346  8.6242  7.9787  7.3731  6.5614  6.0378  5.8889  8.1513  8.9505
  34  0.451538  3.6441  4.8851 -1.2630 10.1831  9.5279  8.4431  7.8165  7.2241  6.4302  5.9131  5.7690  7.9868  8.7509
