NUMBER OF AGES= 1 MAGS=10
----------------------------------------------------       
MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
 1.9380  0.2452 1.3168E-04 1.7223E-04  -2.00  -0.20 
----------------------------------------------------       
**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)
----------------------------------------------------       
AGE= 1.000 EEPS=271
#EEP   M    LogTeff  LogG   LogL U       B       V       R       I       J       H       Ks      Kp      D51
   3  0.115752  3.5514  5.3258 -2.6653 16.1386 14.3036 12.6117 11.6325 10.7709  9.6771  9.2097  9.0901 11.8106 13.3645
   4  0.125972  3.5624  5.2867 -2.5456 15.4421 13.8316 12.2278 11.2850 10.4726  9.4098  8.9174  8.7898 11.4721 12.9211
   5  0.140175  3.5743  5.2423 -2.4069 14.7208 13.2989 11.7894 10.8912 10.1224  9.0981  8.5840  8.4490 11.0826 12.4208
   6  0.166852  3.5872  5.1880 -2.2257 13.8985 12.6525 11.2407 10.3943  9.6635  8.6819  8.1511  8.0057 10.5851 11.8053
   7  0.209959  3.5987  5.1334 -2.0249 13.0633 11.9829 10.6548  9.8574  9.1560  8.2130  7.6737  7.5182 10.0449 11.1549
   8  0.253633  3.6071  5.0916 -1.8676 12.4575 11.4756 10.2014  9.4385  8.7574  7.8428  7.3016  7.1416  9.6229 10.6589
   9  0.297779  3.6139  5.0555 -1.7344 11.9738 11.0558  9.8210  9.0847  8.4200  7.5284  6.9880  6.8269  9.2667 10.2471
  10  0.311670  3.6159  5.0450 -1.6965 11.8368 10.9370  9.7128  8.9841  8.3240  7.4388  6.8990  6.7380  9.1654 10.1302
  11  0.319196  3.6168  5.0378 -1.6752 11.7625 10.8718  9.6529  8.9279  8.2701  7.3880  6.8485  6.6875  9.1088 10.0659
  12  0.324506  3.6175  5.0309 -1.6584 11.7056 10.8215  9.6063  8.8841  8.2279  7.3480  6.8086  6.6476  9.0646 10.0161
  13  0.327142  3.6179  5.0306 -1.6530 11.6830 10.8026  9.5897  8.8690  8.2138  7.3353  6.7962  6.6353  9.0495  9.9976
  14  0.330649  3.6183  5.0311 -1.6471 11.6601 10.7831  9.5724  8.8532  8.1990  7.3219  6.7831  6.6224  9.0335  9.9787
  15  0.334614  3.6188  5.0249 -1.6338 11.6164 10.7441  9.5359  8.8186  8.1656  7.2899  6.7512  6.5905  8.9988  9.9399
  16  0.339866  3.6195  5.0173 -1.6167 11.5583 10.6927  9.4883  8.7738  8.1224  7.2491  6.7104  6.5497  8.9536  9.8890
  17  0.342402  3.6199  5.0207 -1.6152 11.5464 10.6841  9.4818  8.7687  8.1184  7.2465  6.7084  6.5480  8.9485  9.8811
  18  0.367850  3.6235  5.0002 -1.5492 11.3057 10.4760  9.2923  8.5927  7.9509  7.0907  6.5546  6.3954  8.7710  9.6761
  19  0.424859  3.6348  4.9339 -1.3751 10.6474  9.9126  8.7835  8.1240  7.5089  6.6847  6.1575  6.0053  8.2981  9.1242
  20  0.441951  3.6395  4.9175 -1.3227 10.4233  9.7284  8.6218  7.9790  7.3754  6.5667  6.0449  5.8966  8.1512  8.9457
  21  0.457270  3.6443  4.9012 -1.2727 10.2047  9.5503  8.4662  7.8399  7.2481  6.4550  5.9390  5.7950  8.0103  8.7739
  22  0.470785  3.6491  4.8865 -1.2262  9.9977  9.3831  8.3210  7.7105  7.1301  6.3523  5.8424  5.7028  7.8789  8.6137
  23  0.482668  3.6536  4.8736 -1.1842  9.8051  9.2307  8.1894  7.5935  7.0238  6.2604  5.7565  5.6212  7.7601  8.4684
  24  0.493712  3.6582  4.8621 -1.1447  9.6166  9.0860  8.0657  7.4839  6.9243  6.1751  5.6776  5.5465  7.6485  8.3316
  25  0.504310  3.6627  4.8516 -1.1070  9.4318  8.9463  7.9474  7.3791  6.8296  6.0944  5.6036  5.4767  7.5418  8.2009
  26  0.513400  3.6668  4.8433 -1.0744  9.2688  8.8242  7.8448  7.2886  6.7481  6.0256  5.5410  5.4180  7.4494  8.0880
