NUMBER OF AGES= 1 MAGS=10
----------------------------------------------------       
MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
 1.9380  0.2452 1.3168E-04 1.7223E-04  -2.00  -0.20 
----------------------------------------------------       
**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)
----------------------------------------------------       
AGE= 3.000 EEPS=272
#EEP   M    LogTeff  LogG   LogL U       B       V       R       I       J       H       Ks      Kp      D51
   7  0.107537  3.5417  5.3597 -2.7698 16.8164 14.7184 12.9497 11.9399 11.0270  9.9095  9.4690  9.3604 12.1054 13.7552
   8  0.117246  3.5533  5.3192 -2.6456 16.0161 14.2249 12.5480 11.5748 10.7222  9.6332  9.1611  9.0399 11.7548 13.2904
   9  0.128557  3.5650  5.2772 -2.5167 15.2827 13.7176 12.1348 11.2016 10.3996  9.3451  8.8474  8.7184 11.3901 12.8142
  10  0.144608  3.5774  5.2303 -2.3691 14.5352 13.1568 11.6712 10.7852 10.0263  9.0123  8.4935  8.3563 10.9768 12.2868
  11  0.172219  3.5891  5.1776 -2.1937 13.7632 12.5440 11.1468 10.3085  9.5827  8.6076  8.0749  7.9276 10.4989 11.7007
  12  0.203297  3.5975  5.1343 -2.0451 13.1493 12.0516 10.7148  9.9122  9.2075  8.2601  7.7210  7.5663 10.1000 11.2217
  13  0.225115  3.6021  5.1069 -1.9544 12.7916 11.7585 10.4541  9.6715  8.9784  8.0469  7.5055  7.3474  9.8576 10.9349
  14  0.243784  3.6057  5.0853 -1.8842 12.5298 11.5355 10.2532  9.4850  8.8005  7.8807  7.3385  7.1786  9.6698 10.7165
  15  0.265449  3.6094  5.0618 -1.8090 12.2574 11.2995 10.0394  9.2859  8.6103  7.7030  7.1606  6.9994  9.4695 10.4850
  16  0.287640  3.6128  5.0406 -1.7393 12.0084 11.0816  9.8412  9.1011  8.4337  7.5378  6.9958  6.8340  9.2833 10.2711
  17  0.301778  3.6148  5.0286 -1.6982 11.8607 10.9535  9.7244  8.9924  8.3297  7.4408  6.8993  6.7375  9.1737 10.1450
  18  0.309524  3.6159  5.0237 -1.6783 11.7880 10.8905  9.6671  8.9391  8.2790  7.3936  6.8525  6.6909  9.1202 10.0830
  19  0.314654  3.6166  5.0201 -1.6647 11.7398 10.8484  9.6288  8.9033  8.2449  7.3616  6.8208  6.6593  9.0842 10.0416
  20  0.318214  3.6169  5.0184 -1.6564 11.7092 10.8219  9.6046  8.8810  8.2236  7.3418  6.8013  6.6398  9.0616 10.0155
  21  0.320735  3.6173  5.0169 -1.6501 11.6864 10.8021  9.5868  8.8644  8.2078  7.3272  6.7868  6.6254  9.0449  9.9961
  22  0.322656  3.6176  5.0128 -1.6425 11.6613 10.7797  9.5658  8.8444  8.1885  7.3086  6.7682  6.6067  9.0248  9.9738
  23  0.324345  3.6178  5.0121 -1.6385 11.6464 10.7669  9.5541  8.8337  8.1784  7.2993  6.7590  6.5976  9.0140  9.9611
  24  0.326832  3.6182  5.0101 -1.6320 11.6232 10.7466  9.5356  8.8164  8.1618  7.2838  6.7436  6.5823  8.9966  9.9412
  25  0.330064  3.6185  5.0071 -1.6229 11.5910 10.7184  9.5098  8.7923  8.1388  7.2622  6.7222  6.5609  8.9724  9.9134
  26  0.335122  3.6192  5.0035 -1.6101 11.5458 10.6790  9.4738  8.7587  8.1066  7.2322  6.6924  6.5314  8.9385  9.8746
  27  0.344352  3.6203  4.9981 -1.5882 11.4660 10.6098  9.4107  8.7001  8.0508  7.1803  6.6412  6.4805  8.8794  9.8064
  28  0.447943  3.6418  4.9002 -1.2903 10.2948  9.6205  8.5253  7.8909  7.2932  6.4922  5.9728  5.8266  8.0622  8.8407
  29  0.463344  3.6470  4.8832 -1.2380 10.0650  9.4339  8.3625  7.7456  7.1604  6.3759  5.8629  5.7215  7.9148  8.6612
  30  0.476347  3.6519  4.8688 -1.1919  9.8564  9.2672  8.2183  7.6173  7.0437  6.2748  5.7682  5.6314  7.7845  8.5020
  31  0.487965  3.6567  4.8564 -1.1498  9.6572  9.1130  8.0862  7.5002  6.9376  6.1836  5.6838  5.5514  7.6654  8.3559
  32  0.498871  3.6615  4.8452 -1.1101  9.4632  8.9660  7.9615  7.3898  6.8378  6.0986  5.6057  5.4777  7.5531  8.2179
  33  0.508976  3.6661  4.8355 -1.0733  9.2796  8.8284  7.8458  7.2876  6.7457  6.0207  5.5347  5.4111  7.4488  8.0905
